CROPS,STR_OF_PRODUCTION,COUNTRY,YEAR,OBS_VALUE
"Fruits, berries and nuts",AR,AL,1987,53.0
"Fruits, berries and nuts",AR,AL,1988,54.0
"Fruits, berries and nuts",AR,AL,1989,54.0
"Fruits, berries and nuts",AR,AL,1990,54.0
"Fruits, berries and nuts",AR,AL,1991,54.0
"Fruits, berries and nuts",AR,AL,1992,54.0
"Fruits, berries and nuts",AR,AL,1993,54.0
"Fruits, berries and nuts",AR,AL,1994,54.0
"Fruits, berries and nuts",AR,AL,1995,54.0
"Fruits, berries and nuts",AR,AL,1996,53.0
"Fruits, berries and nuts",AR,AL,1997,53.0
"Fruits, berries and nuts",AR,AL,1998,53.4
"Fruits, berries and nuts",AR,BE,1973,15.8
"Fruits, berries and nuts",AR,BE,1974,15.3
"Fruits, berries and nuts",AR,BE,1975,14.9
"Fruits, berries and nuts",AR,BE,1976,14.3
"Fruits, berries and nuts",AR,BE,1977,12.5
"Fruits, berries and nuts",AR,BE,1978,12.4
"Fruits, berries and nuts",AR,BE,1979,11.8
"Fruits, berries and nuts",AR,BE,1980,11.2
"Fruits, berries and nuts",AR,BE,1981,10.6
"Fruits, berries and nuts",AR,BE,1982,10.6
"Fruits, berries and nuts",AR,BE,1983,10.6
"Fruits, berries and nuts",AR,BE,1984,10.7
"Fruits, berries and nuts",AR,BE,1985,10.5
"Fruits, berries and nuts",AR,BE,1986,10.4
"Fruits, berries and nuts",AR,BE,1987,10.7
"Fruits, berries and nuts",AR,BE,1988,11.1
"Fruits, berries and nuts",AR,BE,1989,11.7
"Fruits, berries and nuts",AR,BE,1990,12.3
"Fruits, berries and nuts",AR,BE,1991,12.9
"Fruits, berries and nuts",AR,BE,1992,13.6
"Fruits, berries and nuts",AR,BE,1993,14.0
"Fruits, berries and nuts",AR,BE,1994,14.4
"Fruits, berries and nuts",AR,BE,1995,14.5
"Fruits, berries and nuts",AR,BE,1996,14.8
"Fruits, berries and nuts",AR,BE,1997,15.2
"Fruits, berries and nuts",AR,BE,1998,16.0
"Fruits, berries and nuts",AR,BE,1999,16.2
"Fruits, berries and nuts",AR,BG,1987,116.0
"Fruits, berries and nuts",AR,BG,1988,114.0
"Fruits, berries and nuts",AR,BG,1989,112.0
"Fruits, berries and nuts",AR,BG,1990,113.0
"Fruits, berries and nuts",AR,BG,1991,113.0
"Fruits, berries and nuts",AR,BG,1992,107.0
"Fruits, berries and nuts",AR,BG,1993,98.0
"Fruits, berries and nuts",AR,BG,1994,87.0
"Fruits, berries and nuts",AR,BG,1995,77.0
"Fruits, berries and nuts",AR,BG,1996,77.0
"Fruits, berries and nuts",AR,BG,1997,75.8
"Fruits, berries and nuts",AR,BG,1998,85.0
"Fruits, berries and nuts",AR,DE,1973,68.1
"Fruits, berries and nuts",AR,DE,1974,66.6
"Fruits, berries and nuts",AR,DE,1975,62.6
"Fruits, berries and nuts",AR,DE,1976,61.8
"Fruits, berries and nuts",AR,DE,1977,56.9
"Fruits, berries and nuts",AR,DE,1978,56.8
"Fruits, berries and nuts",AR,DE,1979,54.0
"Fruits, berries and nuts",AR,DE,1980,52.6
"Fruits, berries and nuts",AR,DE,1981,51.1
"Fruits, berries and nuts",AR,DE,1982,49.7
"Fruits, berries and nuts",AR,DE,1983,48.7
"Fruits, berries and nuts",AR,DE,1984,47.6
"Fruits, berries and nuts",AR,DE,1985,47.5
"Fruits, berries and nuts",AR,DE,1986,47.1
"Fruits, berries and nuts",AR,DE,1987,46.3
"Fruits, berries and nuts",AR,DE,1988,45.24
"Fruits, berries and nuts",AR,DE,1989,45.96
"Fruits, berries and nuts",AR,DE,1991,73.9
"Fruits, berries and nuts",AR,DE,1992,73.9
"Fruits, berries and nuts",AR,DE,1993,59.2
"Fruits, berries and nuts",AR,DE,1994,56.4
"Fruits, berries and nuts",AR,DE,1995,56.1
"Fruits, berries and nuts",AR,DE,1996,56.4
"Fruits, berries and nuts",AR,DE,1997,55.0
"Fruits, berries and nuts",AR,DE,1998,55.0
"Fruits, berries and nuts",AR,DE,1999,55.0
"Fruits, berries and nuts",AR,DK,1965,8.7
"Fruits, berries and nuts",AR,DK,1966,8.9
"Fruits, berries and nuts",AR,DK,1967,9.1
"Fruits, berries and nuts",AR,DK,1968,9.0
"Fruits, berries and nuts",AR,DK,1969,8.9
"Fruits, berries and nuts",AR,DK,1970,9.1
"Fruits, berries and nuts",AR,DK,1971,10.5
"Fruits, berries and nuts",AR,DK,1972,10.3
"Fruits, berries and nuts",AR,DK,1973,10.3
"Fruits, berries and nuts",AR,DK,1974,9.7
"Fruits, berries and nuts",AR,DK,1975,9.7
"Fruits, berries and nuts",AR,DK,1976,9.3
"Fruits, berries and nuts",AR,DK,1977,8.7
"Fruits, berries and nuts",AR,DK,1978,8.6
"Fruits, berries and nuts",AR,DK,1979,8.1
"Fruits, berries and nuts",AR,DK,1980,7.7
"Fruits, berries and nuts",AR,DK,1981,7.4
"Fruits, berries and nuts",AR,DK,1982,7.0
"Fruits, berries and nuts",AR,DK,1983,6.7
"Fruits, berries and nuts",AR,DK,1984,6.7
"Fruits, berries and nuts",AR,DK,1985,6.3
"Fruits, berries and nuts",AR,DK,1986,5.6
"Fruits, berries and nuts",AR,DK,1987,5.5
"Fruits, berries and nuts",AR,DK,1988,5.3
"Fruits, berries and nuts",AR,DK,1989,4.9
"Fruits, berries and nuts",AR,DK,1990,4.9
"Fruits, berries and nuts",AR,DK,1991,0.0
"Fruits, berries and nuts",AR,DK,1992,0.0
"Fruits, berries and nuts",AR,DK,1993,4.7
"Fruits, berries and nuts",AR,DK,1994,4.7
"Fruits, berries and nuts",AR,DK,1995,4.7
"Fruits, berries and nuts",AR,DK,1996,4.8
"Fruits, berries and nuts",AR,DK,1997,5.0
"Fruits, berries and nuts",AR,DK,1998,4.8
"Fruits, berries and nuts",AR,DK,1999,4.8
"Fruits, berries and nuts",AR,EE,1987,9.3
"Fruits, berries and nuts",AR,EE,1988,9.1
"Fruits, berries and nuts",AR,EE,1989,9.2
"Fruits, berries and nuts",AR,EE,1990,9.0
"Fruits, berries and nuts",AR,EE,1991,9.7
"Fruits, berries and nuts",AR,EE,1992,9.4
"Fruits, berries and nuts",AR,EE,1993,9.0
"Fruits, berries and nuts",AR,EE,1994,9.3
"Fruits, berries and nuts",AR,EE,1995,9.2
"Fruits, berries and nuts",AR,EE,1996,9.1
"Fruits, berries and nuts",AR,EE,1997,8.9
"Fruits, berries and nuts",AR,EE,1998,9.1
"Fruits, berries and nuts",AR,EE,1999,8.2
"Fruits, berries and nuts",AR,ES,1964,411.7
"Fruits, berries and nuts",AR,ES,1965,434.4
"Fruits, berries and nuts",AR,ES,1966,441.7
"Fruits, berries and nuts",AR,ES,1967,444.5
"Fruits, berries and nuts",AR,ES,1968,467.4
"Fruits, berries and nuts",AR,ES,1969,492.6
"Fruits, berries and nuts",AR,ES,1970,542.6
"Fruits, berries and nuts",AR,ES,1971,594.6
"Fruits, berries and nuts",AR,ES,1972,686.3
"Fruits, berries and nuts",AR,ES,1973,734.0
"Fruits, berries and nuts",AR,ES,1974,772.7
"Fruits, berries and nuts",AR,ES,1975,791.1
"Fruits, berries and nuts",AR,ES,1976,799.3
"Fruits, berries and nuts",AR,ES,1977,802.9
"Fruits, berries and nuts",AR,ES,1978,805.0
"Fruits, berries and nuts",AR,ES,1979,830.5
"Fruits, berries and nuts",AR,ES,1980,841.4
"Fruits, berries and nuts",AR,ES,1981,843.5
"Fruits, berries and nuts",AR,ES,1982,852.4
"Fruits, berries and nuts",AR,ES,1983,854.8
"Fruits, berries and nuts",AR,ES,1984,859.2
"Fruits, berries and nuts",AR,ES,1985,865.5
"Fruits, berries and nuts",AR,ES,1986,870.3
"Fruits, berries and nuts",AR,ES,1987,888.9
"Fruits, berries and nuts",AR,ES,1988,903.9
"Fruits, berries and nuts",AR,ES,1989,926.6
"Fruits, berries and nuts",AR,ES,1990,933.1
"Fruits, berries and nuts",AR,ES,1991,950.4
"Fruits, berries and nuts",AR,ES,1992,923.8
"Fruits, berries and nuts",AR,ES,1993,932.4
"Fruits, berries and nuts",AR,ES,1994,933.4
"Fruits, berries and nuts",AR,ES,1995,953.3
"Fruits, berries and nuts",AR,ES,1996,945.1
"Fruits, berries and nuts",AR,ES,1997,971.6
"Fruits, berries and nuts",AR,ES,1998,961.3
"Fruits, berries and nuts",AR,ES,1999,957.0
"Fruits, berries and nuts",AR,FI,1984,0.4
"Fruits, berries and nuts",AR,FI,1985,0.4
"Fruits, berries and nuts",AR,FI,1986,0.4
"Fruits, berries and nuts",AR,FI,1987,0.4
"Fruits, berries and nuts",AR,FI,1988,0.3
"Fruits, berries and nuts",AR,FI,1989,0.4
"Fruits, berries and nuts",AR,FI,1990,0.4
"Fruits, berries and nuts",AR,FI,1991,0.4
"Fruits, berries and nuts",AR,FI,1992,0.3
"Fruits, berries and nuts",AR,FI,1993,0.4
"Fruits, berries and nuts",AR,FI,1994,0.4
"Fruits, berries and nuts",AR,FI,1995,0.4
"Fruits, berries and nuts",AR,FI,1996,0.4
"Fruits, berries and nuts",AR,FI,1997,0.5
"Fruits, berries and nuts",AR,FI,1998,0.5
"Fruits, berries and nuts",AR,FI,1999,0.5
"Fruits, berries and nuts",AR,FR,1965,310.0
"Fruits, berries and nuts",AR,FR,1966,327.1
"Fruits, berries and nuts",AR,FR,1967,318.3
"Fruits, berries and nuts",AR,FR,1968,319.1
"Fruits, berries and nuts",AR,FR,1969,323.9
"Fruits, berries and nuts",AR,FR,1970,272.1
"Fruits, berries and nuts",AR,FR,1971,259.6
"Fruits, berries and nuts",AR,FR,1972,251.5
"Fruits, berries and nuts",AR,FR,1973,252.2
"Fruits, berries and nuts",AR,FR,1974,251.7
"Fruits, berries and nuts",AR,FR,1975,246.6
"Fruits, berries and nuts",AR,FR,1976,241.2
"Fruits, berries and nuts",AR,FR,1977,235.0
"Fruits, berries and nuts",AR,FR,1978,231.9
"Fruits, berries and nuts",AR,FR,1979,229.9
"Fruits, berries and nuts",AR,FR,1980,215.6
"Fruits, berries and nuts",AR,FR,1981,210.6
"Fruits, berries and nuts",AR,FR,1982,208.8
"Fruits, berries and nuts",AR,FR,1983,209.1
"Fruits, berries and nuts",AR,FR,1984,209.2
"Fruits, berries and nuts",AR,FR,1985,205.5
"Fruits, berries and nuts",AR,FR,1986,218.2
"Fruits, berries and nuts",AR,FR,1987,217.7
"Fruits, berries and nuts",AR,FR,1988,204.2
"Fruits, berries and nuts",AR,FR,1989,205.4
"Fruits, berries and nuts",AR,FR,1990,206.1
"Fruits, berries and nuts",AR,FR,1991,214.9
"Fruits, berries and nuts",AR,FR,1992,213.0
"Fruits, berries and nuts",AR,FR,1993,214.3
"Fruits, berries and nuts",AR,FR,1994,213.5
"Fruits, berries and nuts",AR,FR,1995,207.6
"Fruits, berries and nuts",AR,FR,1996,204.5
"Fruits, berries and nuts",AR,FR,1997,200.5
"Fruits, berries and nuts",AR,FR,1998,194.7
"Fruits, berries and nuts",AR,FR,1999,197.8
"Fruits, berries and nuts",AR,HR,1997,68.0
"Fruits, berries and nuts",AR,HR,1998,70.0
"Fruits, berries and nuts",AR,HR,1999,55.0
"Fruits, berries and nuts",AR,HU,1988,95.0
"Fruits, berries and nuts",AR,HU,1989,94.0
"Fruits, berries and nuts",AR,HU,1990,95.0
"Fruits, berries and nuts",AR,HU,1991,94.0
"Fruits, berries and nuts",AR,HU,1992,95.0
"Fruits, berries and nuts",AR,HU,1993,93.0
"Fruits, berries and nuts",AR,HU,1994,93.0
"Fruits, berries and nuts",AR,HU,1995,94.0
"Fruits, berries and nuts",AR,HU,1996,94.0
"Fruits, berries and nuts",AR,HU,1997,95.6
"Fruits, berries and nuts",AR,HU,1998,96.3
"Fruits, berries and nuts",AR,HU,1999,96.4
"Fruits, berries and nuts",AR,IE,1960,3.4
"Fruits, berries and nuts",AR,IE,1961,3.8
"Fruits, berries and nuts",AR,IE,1962,3.4
"Fruits, berries and nuts",AR,IE,1963,3.3
"Fruits, berries and nuts",AR,IE,1964,3.1
"Fruits, berries and nuts",AR,IE,1965,3.1
"Fruits, berries and nuts",AR,IE,1966,2.1
"Fruits, berries and nuts",AR,IE,1967,2.4
"Fruits, berries and nuts",AR,IE,1968,2.2
"Fruits, berries and nuts",AR,IE,1969,2.2
"Fruits, berries and nuts",AR,IE,1970,2.3
"Fruits, berries and nuts",AR,IE,1971,2.2
"Fruits, berries and nuts",AR,IE,1972,2.2
"Fruits, berries and nuts",AR,IE,1973,2.4
"Fruits, berries and nuts",AR,IE,1974,2.4
"Fruits, berries and nuts",AR,IE,1975,1.7
"Fruits, berries and nuts",AR,IE,1976,1.6
"Fruits, berries and nuts",AR,IE,1977,1.6
"Fruits, berries and nuts",AR,IE,1978,1.6
"Fruits, berries and nuts",AR,IE,1979,1.5
"Fruits, berries and nuts",AR,IE,1980,1.5
"Fruits, berries and nuts",AR,IE,1981,1.4
"Fruits, berries and nuts",AR,IE,1982,1.4
"Fruits, berries and nuts",AR,IE,1983,1.3
"Fruits, berries and nuts",AR,IE,1984,1.3
"Fruits, berries and nuts",AR,IE,1985,1.3
"Fruits, berries and nuts",AR,IE,1986,1.3
"Fruits, berries and nuts",AR,IE,1987,1.3
"Fruits, berries and nuts",AR,IE,1988,1.4
"Fruits, berries and nuts",AR,IE,1989,1.3
"Fruits, berries and nuts",AR,IE,1990,1.1
"Fruits, berries and nuts",AR,IE,1991,1.1
"Fruits, berries and nuts",AR,IE,1992,1.5
"Fruits, berries and nuts",AR,IE,1998,0.0
"Fruits, berries and nuts",AR,IE,1999,0.0
"Fruits, berries and nuts",AR,IT,1965,781.8
"Fruits, berries and nuts",AR,IT,1966,793.1
"Fruits, berries and nuts",AR,IT,1967,794.3
"Fruits, berries and nuts",AR,IT,1968,784.2
"Fruits, berries and nuts",AR,IT,1969,777.9
"Fruits, berries and nuts",AR,IT,1970,774.1
"Fruits, berries and nuts",AR,IT,1971,758.8
"Fruits, berries and nuts",AR,IT,1972,731.3
"Fruits, berries and nuts",AR,IT,1973,722.7
"Fruits, berries and nuts",AR,IT,1974,719.4
"Fruits, berries and nuts",AR,IT,1975,714.2
"Fruits, berries and nuts",AR,IT,1976,707.0
"Fruits, berries and nuts",AR,IT,1977,698.3
"Fruits, berries and nuts",AR,IT,1978,695.3
"Fruits, berries and nuts",AR,IT,1979,696.6
"Fruits, berries and nuts",AR,IT,1980,726.7
"Fruits, berries and nuts",AR,IT,1981,729.3
"Fruits, berries and nuts",AR,IT,1982,731.4
"Fruits, berries and nuts",AR,IT,1983,842.2
"Fruits, berries and nuts",AR,IT,1984,842.2
"Fruits, berries and nuts",AR,IT,1985,842.5
"Fruits, berries and nuts",AR,IT,1986,843.4
"Fruits, berries and nuts",AR,IT,1987,843.0
"Fruits, berries and nuts",AR,IT,1988,835.4
"Fruits, berries and nuts",AR,IT,1989,833.2
"Fruits, berries and nuts",AR,IT,1990,834.3
"Fruits, berries and nuts",AR,IT,1991,834.9
"Fruits, berries and nuts",AR,IT,1992,828.0
"Fruits, berries and nuts",AR,IT,1993,823.0
"Fruits, berries and nuts",AR,IT,1994,808.7
"Fruits, berries and nuts",AR,IT,1998,456.2
"Fruits, berries and nuts",AR,IT,1999,471.7
"Fruits, berries and nuts",AR,LT,1987,45.6
"Fruits, berries and nuts",AR,LT,1988,44.6
"Fruits, berries and nuts",AR,LT,1989,44.2
"Fruits, berries and nuts",AR,LT,1990,44.6
"Fruits, berries and nuts",AR,LT,1991,43.9
"Fruits, berries and nuts",AR,LT,1992,42.6
"Fruits, berries and nuts",AR,LT,1993,38.4
"Fruits, berries and nuts",AR,LT,1994,38.8
"Fruits, berries and nuts",AR,LT,1995,38.6
"Fruits, berries and nuts",AR,LT,1996,38.5
"Fruits, berries and nuts",AR,LT,1997,43.8
"Fruits, berries and nuts",AR,LT,1998,43.1
"Fruits, berries and nuts",AR,LT,1999,42.5
"Fruits, berries and nuts",AR,LU,1990,0.1
"Fruits, berries and nuts",AR,LU,1991,0.1
"Fruits, berries and nuts",AR,LU,1992,1.0
"Fruits, berries and nuts",AR,LU,1993,1.0
"Fruits, berries and nuts",AR,LU,1994,1.4
"Fruits, berries and nuts",AR,LU,1995,1.3
"Fruits, berries and nuts",AR,LU,1996,1.3
"Fruits, berries and nuts",AR,LU,1997,1.4
"Fruits, berries and nuts",AR,LU,1998,2.3
"Fruits, berries and nuts",AR,LU,1999,2.2
"Fruits, berries and nuts",AR,LV,1990,30.3
"Fruits, berries and nuts",AR,LV,1991,28.4
"Fruits, berries and nuts",AR,LV,1992,19.8
"Fruits, berries and nuts",AR,LV,1993,19.6
"Fruits, berries and nuts",AR,LV,1994,19.7
"Fruits, berries and nuts",AR,LV,1995,29.3
"Fruits, berries and nuts",AR,LV,1996,16.2
"Fruits, berries and nuts",AR,LV,1997,15.8
"Fruits, berries and nuts",AR,LV,1998,12.7
"Fruits, berries and nuts",AR,LV,1999,12.3
"Fruits, berries and nuts",AR,MK,1987,23.0
"Fruits, berries and nuts",AR,MK,1988,23.0
"Fruits, berries and nuts",AR,MK,1989,23.0
"Fruits, berries and nuts",AR,MK,1990,23.0
"Fruits, berries and nuts",AR,MK,1991,23.0
"Fruits, berries and nuts",AR,MK,1992,22.0
"Fruits, berries and nuts",AR,MK,1993,21.0
"Fruits, berries and nuts",AR,MK,1994,20.0
"Fruits, berries and nuts",AR,MK,1995,20.0
"Fruits, berries and nuts",AR,MK,1996,20.0
"Fruits, berries and nuts",AR,MK,1997,20.0
"Fruits, berries and nuts",AR,MK,1998,20.0
"Fruits, berries and nuts",AR,MK,1999,44.7
"Fruits, berries and nuts",AR,NL,1965,48.6
"Fruits, berries and nuts",AR,NL,1966,47.9
"Fruits, berries and nuts",AR,NL,1967,47.1
"Fruits, berries and nuts",AR,NL,1968,45.7
"Fruits, berries and nuts",AR,NL,1969,42.8
"Fruits, berries and nuts",AR,NL,1970,38.3
"Fruits, berries and nuts",AR,NL,1971,35.2
"Fruits, berries and nuts",AR,NL,1972,33.5
"Fruits, berries and nuts",AR,NL,1973,31.8
"Fruits, berries and nuts",AR,NL,1974,31.5
"Fruits, berries and nuts",AR,NL,1975,31.2
"Fruits, berries and nuts",AR,NL,1976,30.3
"Fruits, berries and nuts",AR,NL,1977,28.4
"Fruits, berries and nuts",AR,NL,1978,27.9
"Fruits, berries and nuts",AR,NL,1979,27.0
"Fruits, berries and nuts",AR,NL,1980,24.7
"Fruits, berries and nuts",AR,NL,1981,23.7
"Fruits, berries and nuts",AR,NL,1982,23.3
"Fruits, berries and nuts",AR,NL,1983,23.1
"Fruits, berries and nuts",AR,NL,1984,23.1
"Fruits, berries and nuts",AR,NL,1985,22.8
"Fruits, berries and nuts",AR,NL,1986,21.7
"Fruits, berries and nuts",AR,NL,1987,21.7
"Fruits, berries and nuts",AR,NL,1988,21.9
"Fruits, berries and nuts",AR,NL,1989,22.2
"Fruits, berries and nuts",AR,NL,1990,22.7
"Fruits, berries and nuts",AR,NL,1991,23.3
"Fruits, berries and nuts",AR,NL,1992,23.6
"Fruits, berries and nuts",AR,NL,1993,23.4
"Fruits, berries and nuts",AR,NL,1994,23.4
"Fruits, berries and nuts",AR,NL,1995,22.4
"Fruits, berries and nuts",AR,NL,1996,22.2
"Fruits, berries and nuts",AR,NL,1997,22.2
"Fruits, berries and nuts",AR,NL,1998,21.6
"Fruits, berries and nuts",AR,NL,1999,21.1
"Fruits, berries and nuts",AR,PL,1998,269.9
"Fruits, berries and nuts",AR,PL,1999,276.0
"Fruits, berries and nuts",AR,PT,1968,218.2
"Fruits, berries and nuts",AR,PT,1969,219.9
"Fruits, berries and nuts",AR,PT,1970,224.1
"Fruits, berries and nuts",AR,PT,1971,228.8
"Fruits, berries and nuts",AR,PT,1972,235.5
"Fruits, berries and nuts",AR,PT,1973,238.4
"Fruits, berries and nuts",AR,PT,1974,242.6
"Fruits, berries and nuts",AR,PT,1975,246.8
"Fruits, berries and nuts",AR,PT,1976,249.5
"Fruits, berries and nuts",AR,PT,1977,250.8
"Fruits, berries and nuts",AR,PT,1978,252.8
"Fruits, berries and nuts",AR,PT,1979,254.5
"Fruits, berries and nuts",AR,PT,1980,117.4
"Fruits, berries and nuts",AR,PT,1981,118.9
"Fruits, berries and nuts",AR,PT,1982,121.6
"Fruits, berries and nuts",AR,PT,1983,122.9
"Fruits, berries and nuts",AR,PT,1984,126.4
"Fruits, berries and nuts",AR,PT,1985,127.4
"Fruits, berries and nuts",AR,PT,1986,128.5
"Fruits, berries and nuts",AR,PT,1987,131.3
"Fruits, berries and nuts",AR,PT,1988,134.0
"Fruits, berries and nuts",AR,PT,1989,136.9
"Fruits, berries and nuts",AR,PT,1990,135.2
"Fruits, berries and nuts",AR,PT,1991,136.5
"Fruits, berries and nuts",AR,PT,1992,138.0
"Fruits, berries and nuts",AR,PT,1993,137.8
"Fruits, berries and nuts",AR,PT,1994,137.2
"Fruits, berries and nuts",AR,PT,1995,136.7
"Fruits, berries and nuts",AR,PT,1996,135.5
"Fruits, berries and nuts",AR,PT,1997,134.0
"Fruits, berries and nuts",AR,PT,1998,132.7
"Fruits, berries and nuts",AR,PT,1999,159.34
"Fruits, berries and nuts",AR,RO,1987,249.3
"Fruits, berries and nuts",AR,RO,1988,244.7
"Fruits, berries and nuts",AR,RO,1989,239.5
"Fruits, berries and nuts",AR,RO,1990,230.8
"Fruits, berries and nuts",AR,RO,1991,232.8
"Fruits, berries and nuts",AR,RO,1992,229.8
"Fruits, berries and nuts",AR,RO,1993,233.2
"Fruits, berries and nuts",AR,RO,1994,228.6
"Fruits, berries and nuts",AR,RO,1995,225.8
"Fruits, berries and nuts",AR,RO,1996,218.2
"Fruits, berries and nuts",AR,RO,1997,214.0
"Fruits, berries and nuts",AR,RO,1998,211.8
"Fruits, berries and nuts",AR,RO,1999,208.9
"Fruits, berries and nuts",AR,SE,1971,3.4
"Fruits, berries and nuts",AR,SE,1972,3.4
"Fruits, berries and nuts",AR,SE,1973,3.4
"Fruits, berries and nuts",AR,SE,1974,3.4
"Fruits, berries and nuts",AR,SE,1975,3.4
"Fruits, berries and nuts",AR,SE,1976,3.3
"Fruits, berries and nuts",AR,SE,1977,3.3
"Fruits, berries and nuts",AR,SE,1978,3.3
"Fruits, berries and nuts",AR,SE,1979,3.3
"Fruits, berries and nuts",AR,SE,1980,3.3
"Fruits, berries and nuts",AR,SE,1981,3.0
"Fruits, berries and nuts",AR,SE,1982,3.0
"Fruits, berries and nuts",AR,SE,1983,3.0
"Fruits, berries and nuts",AR,SE,1984,3.1
"Fruits, berries and nuts",AR,SE,1985,3.1
"Fruits, berries and nuts",AR,SE,1986,3.1
"Fruits, berries and nuts",AR,SE,1987,3.1
"Fruits, berries and nuts",AR,SE,1988,3.1
"Fruits, berries and nuts",AR,SE,1989,3.1
"Fruits, berries and nuts",AR,SE,1990,2.4
"Fruits, berries and nuts",AR,SE,1991,2.4
"Fruits, berries and nuts",AR,SE,1992,2.4
"Fruits, berries and nuts",AR,SE,1993,2.3
"Fruits, berries and nuts",AR,SE,1994,2.3
"Fruits, berries and nuts",AR,SE,1995,2.3
"Fruits, berries and nuts",AR,SE,1996,2.2
"Fruits, berries and nuts",AR,SE,1997,2.2
"Fruits, berries and nuts",AR,SE,1998,2.1
"Fruits, berries and nuts",AR,SE,1999,2.0
"Fruits, berries and nuts",AR,SI,1991,4.5
"Fruits, berries and nuts",AR,SI,1992,4.6
"Fruits, berries and nuts",AR,SI,1993,4.6
"Fruits, berries and nuts",AR,SI,1994,4.8
"Fruits, berries and nuts",AR,SI,1995,4.2
"Fruits, berries and nuts",AR,SI,1996,4.5
"Fruits, berries and nuts",AR,SI,1997,4.6
"Fruits, berries and nuts",AR,SI,1998,4.6
"Fruits, berries and nuts",AR,SI,1999,4.6
"Fruits, berries and nuts",AR,SK,1990,10.5
"Fruits, berries and nuts",AR,SK,1991,10.1
"Fruits, berries and nuts",AR,SK,1992,9.3
"Fruits, berries and nuts",AR,SK,1993,7.8
"Fruits, berries and nuts",AR,SK,1994,7.2
"Fruits, berries and nuts",AR,SK,1995,6.5
"Fruits, berries and nuts",AR,SK,1996,5.9
"Fruits, berries and nuts",AR,SK,1997,5.6
"Fruits, berries and nuts",AR,SK,1998,5.3
"Fruits, berries and nuts",AR,SK,1999,4.6
"Fruits, berries and nuts",AR,UK,1965,91.2
"Fruits, berries and nuts",AR,UK,1966,85.7
"Fruits, berries and nuts",AR,UK,1967,83.4
"Fruits, berries and nuts",AR,UK,1968,76.4
"Fruits, berries and nuts",AR,UK,1969,69.7
"Fruits, berries and nuts",AR,UK,1970,67.1
"Fruits, berries and nuts",AR,UK,1971,64.4
"Fruits, berries and nuts",AR,UK,1972,61.3
"Fruits, berries and nuts",AR,UK,1973,58.7
"Fruits, berries and nuts",AR,UK,1974,57.7
"Fruits, berries and nuts",AR,UK,1975,55.7
"Fruits, berries and nuts",AR,UK,1976,53.6
"Fruits, berries and nuts",AR,UK,1977,51.9
"Fruits, berries and nuts",AR,UK,1978,50.1
"Fruits, berries and nuts",AR,UK,1979,49.3
"Fruits, berries and nuts",AR,UK,1980,47.3
"Fruits, berries and nuts",AR,UK,1981,44.0
"Fruits, berries and nuts",AR,UK,1982,42.7
"Fruits, berries and nuts",AR,UK,1983,40.7
"Fruits, berries and nuts",AR,UK,1984,39.2
"Fruits, berries and nuts",AR,UK,1985,31.2
"Fruits, berries and nuts",AR,UK,1986,30.5
"Fruits, berries and nuts",AR,UK,1987,30.9
"Fruits, berries and nuts",AR,UK,1988,30.1
"Fruits, berries and nuts",AR,UK,1989,29.1
"Fruits, berries and nuts",AR,UK,1990,28.3
"Fruits, berries and nuts",AR,UK,1991,27.8
"Fruits, berries and nuts",AR,UK,1992,27.1
"Fruits, berries and nuts",AR,UK,1993,29.7
"Fruits, berries and nuts",AR,UK,1994,24.9
"Fruits, berries and nuts",AR,UK,1995,23.0
"Fruits, berries and nuts",AR,UK,1996,22.3
"Fruits, berries and nuts",AR,UK,1997,22.2
"Fruits, berries and nuts",AR,UK,1998,21.7
"Fruits, berries and nuts",AR,UK,1999,20.6
"Fruits, berries and nuts",PR,AL,1987,71.6
"Fruits, berries and nuts",PR,AL,1988,68.7
"Fruits, berries and nuts",PR,AL,1989,88.3
"Fruits, berries and nuts",PR,AL,1990,71.0
"Fruits, berries and nuts",PR,AL,1991,39.3
"Fruits, berries and nuts",PR,AL,1992,34.0
"Fruits, berries and nuts",PR,AL,1993,42.1
"Fruits, berries and nuts",PR,AL,1994,45.0
"Fruits, berries and nuts",PR,AL,1995,51.8
"Fruits, berries and nuts",PR,AL,1996,58.1
"Fruits, berries and nuts",PR,AL,1997,54.6
"Fruits, berries and nuts",PR,AL,1998,52.5
"Fruits, berries and nuts",PR,AL,1999,54.3
"Fruits, berries and nuts",PR,AT,1970,633.5
"Fruits, berries and nuts",PR,AT,1971,508.5
"Fruits, berries and nuts",PR,AT,1972,340.8
"Fruits, berries and nuts",PR,AT,1973,607.6
"Fruits, berries and nuts",PR,AT,1974,638.2
"Fruits, berries and nuts",PR,AT,1975,607.8
"Fruits, berries and nuts",PR,AT,1976,594.8
"Fruits, berries and nuts",PR,AT,1977,507.7
"Fruits, berries and nuts",PR,AT,1978,560.2
"Fruits, berries and nuts",PR,AT,1979,607.5
"Fruits, berries and nuts",PR,AT,1980,612.2
